,"YouTube video link.  Use a link to somewhere in the middle of the lecture, not the beginning, which is usually boring. ",Thumbnail link.,Course or Lecture Series name,University ,Professor or Speaker,Your name
Literature,https://www.youtube.com/embed/G3L9XOHqzak?start=586,https://img.youtube.com/vi/G3L9XOHqzak/maxresdefault.jpg,21st Century -- The Last Century of Youth,Oxford,Sarah Harper,Ryan Wong and Donald Chan

Computer Science,https://www.youtube.com/embed/k6U-i4gXkLM?start=974,https://img.youtube.com/vi/k6U-i4gXkLM/maxresdefault.jpg,Intro to Computer Science,MIT,Eric Grimson,Ryan Wong and Donald Chan
Computer Science,https://www.youtube.com/embed/ENyox7kNKeY?start=1028,http://i3.ytimg.com/vi/ENyox7kNKeY/maxresdefault.jpg,Algorithms,MIT,Erik Demaine,Jeren Raquel and Bryan Zhang
Computer Science,https://www.youtube.com/embed/_QL0VFW57Pg?start=4200,http://i3.ytimg.com/vi/TEjDYtkLRdQ/hddefault.jpg,Database Systems,UC Davis,Mohammad Sadoghi,Elios Sgouros
Computer Science,https://www.youtube.com/embed/TEjDYtkLRdQ?start=1023,http://i3.ytimg.com/vi/TEjDYtkLRdQ/hqdefault.jpg,Computer Graphics,UC Davis,Ken Joy,"Amy Cu, Karan Gupta, Jimmy Liu"
Computer Science,https://www.youtube.com/embed/J8Eh7RqggsU?start=1954,http://i3.ytimg.com/vi/J8Eh7RqggsU?t=1954/maxresdefault.jpg,Artificial Intelligence,Stanford,Percy Liang,Ben Zuniga
Computer Science,https://www.youtube.com/embed/L3LMbpZIKhQ?start=89,https://i.ytimg.com/vi/L3LMbpZIKhQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG\u0026rs=AOn4CLA-01ihyScuPnCcn02HJT3GbmPcOw,Mathematics for Computer Science,MIT,Tom Leighton,Jordan Vuong and Loren Aguilar

Mathematics,https://www.youtube.com/embed/I3GWzXRectE?start=528,https://img.youtube.com/vi/I3GWzXRectE/mqdefault.jpg,Introduction to Calculus,Oxford,Dan Ciubotaru,Eden Avivi and Sophie Bolotin
Mathematics,https://www.youtube.com/embed/azzrfdysfI0?start=43,https://i3.ytimg.com/vi/azzrfdysfI0/hqdefault.jpg,A Vision of Linear Algebra,MIT,Gilbert Strang,Harry Yong
Mathematics,https://www.youtube.com/embed/rZDhNZCsz4s?start=1206,https://i.ytimg.com/vi/rZDhNZCsz4s/maxresdefault.jpg,Calculus: Trignometric Substitution,UCI,Natalia L. Komarova,Kelly Chan
